submission_id;solution_id;exercise_id;runtime_id;worker_group_id;spawn_ts;correctness;compilation_ok;duration
37c798f79c3f6f26165b283feafbe525eee726c3;fca93b33a6753753516f2e9260731151f8472ae8;2b57875f8d6205d314b7146b2a98f9fb04d26983;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511081899;1;1;0.475
77a2d6b55a4f43fc338bda9fc6e9f1fcef078653;6950d5ce3794adc43723bffbfdf3eaa0dc51a7b7;c66a8688c9698c54937b14d947fae6246d00dce5;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511171862;1;1;0.338
26f37790ae5f4bf6339173d5a84f2498a28760e2;6950d5ce3794adc43723bffbfdf3eaa0dc51a7b7;c66a8688c9698c54937b14d947fae6246d00dce5;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511171862;1;1;0.339
e3fc58e00b55c2d915fa0f9bc08acffc255551ba;6950d5ce3794adc43723bffbfdf3eaa0dc51a7b7;c66a8688c9698c54937b14d947fae6246d00dce5;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511171865;1;1;0.322
373ad13afc6a192d6e48e14a19e823a56d7d88d7;1ab75cd0736f235046f655ca01989a0bcd8edf73;c204a01f102c9a4a51180475e79c32f8943c0911;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511172634;1;1;0.408
f79a4974932dc9a87e58f48c16aa09083bccf3b5;c4efe5a82740e4f788abd492018c2d92646bfdab;82dbfacdd3b838f4fec1e41d6b724b73afa9c3b4;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511172859;1;1;0.837
a83ee211f2145ebee484d6eb9eeb7a74f928c98d;325a879690ff53b984d5ebf8286da6e6ced0846f;594ca1601f9e27f8744ee779746d6a622412f886;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511173001;1;1;0.93
e2964faefadd65fad88865822b99843852f3fe27;9e59d1018c186a97760b5f0c5c12986c0487b21c;66e0088b368fb3ea9a24e579b000e70bc52c70d0;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511213389;1;1;2.521
058960f4c2b8f0eb0c98601c04763be5f6b6e148;fd51e22f54774e3b7ce6530a5867acf588c4a7f3;66e0088b368fb3ea9a24e579b000e70bc52c70d0;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511213401;1;1;2.594
ea59228828806cd6baa6e746fd63ab08a58c3726;f4ef2bc870216f511b8ca2bc96b5efe9142a2ddf;041a27fa63102e56a55df9cf0cc2c1273ac0d44e;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511213992;1;1;0.787
07373a82cb9028a03398cbcf29215a3649de463e;f4ef2bc870216f511b8ca2bc96b5efe9142a2ddf;041a27fa63102e56a55df9cf0cc2c1273ac0d44e;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511214115;1;1;0.773
53258623efd9543e9d0b26c48d96ad6835137afe;8a773063f1cfb5798aea15a5ca9f65aafdd65af3;b8622755e1800b37dac7b4e6819b5e15ba976454;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511214730;1;1;0.322
2d88a572aabe7a3b93fbcfd7dcfff46c447e2974;8a773063f1cfb5798aea15a5ca9f65aafdd65af3;b8622755e1800b37dac7b4e6819b5e15ba976454;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511214866;1;1;0.326
65d3746279330bb728931b83268d7e5bc52681ea;9446b3c83db04463d24670bfe166cb36f5cf6e2d;6ef9d4b9543cceb88ebb7939ed5de2057e83fe47;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511219591;1;1;0.803
9b3b84aa6aa9fae8f730348a412327395fd759d6;9446b3c83db04463d24670bfe166cb36f5cf6e2d;6ef9d4b9543cceb88ebb7939ed5de2057e83fe47;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511219602;1;1;0.796
09f5275f645dcd51ac23b7b6d67825546aed4352;93c2dfaae349b91312fef2cdfcd65058462a0d8d;a4ca8853fb8988eebd20e6e3b1f58bf55963767c;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511251791;1;1;0.809
5fc0cd8cf8bfe573a2e5d78f1ff35262375a613d;93c2dfaae349b91312fef2cdfcd65058462a0d8d;a4ca8853fb8988eebd20e6e3b1f58bf55963767c;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511251798;1;1;0.839
be54dfbbd1dba622980a71d7d5b3ae78db8ac26b;eb9faf21fb6590eb307e6e06e9561cfbfebcb3a6;013db40d1124998c945d976ab7f9abeca315da36;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511252001;1;1;1.168
54d6334c2ef309f5ff1b4fdc1c120bc823f3cc0c;9d3662c48f826423be4a2db3957d48f3cae42e32;abb87bdc61d528b938b6aec31e1dc97465824edf;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511270200;1;1;5.154
dee8148d44f4686b9001e3843a93c6a475a59c91;85b8e9ee003ed4d200f164f41441954a57855d69;a4e76f509fb35d59cb318c30a37a782630fa92bd;9fe5a0b6a597cde520763e5d941a2917d407b750;default;1511293740;1;1;0.888
74daf5a59a0888c6455af454591a1467f66ab31c;1d5ae992d7ce6917d0df33fc00fb6bfa5300c507;b82465109d151957faddd518f795a81f49075282;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511296964;1;1;0.535
b128761c40de9a413de02a1b71edf1a696fdaeb4;97bcb578652bd87871bff5e6c7dc59691a547d67;992580fe125994cc699efaf552f2d4ee171fbf45;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511297736;1;1;1.155
be04b18dffb5b3f00e1fdfc4b740c0d2bc5bd2b0;6829d930044c6bf98f6a12eaa65be62ae29ddc4e;8c5e082d27cc40b9adf1333295904a80ad4992b3;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511298185;1;1;3.646
e4673e9fa0e9de30dcc3a6328fd79dab231239c4;317bf0f3dba929759cef04376ffe95ddda96eeab;790b990b3e5858e16b1f0bd3db657ffcea8b565a;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511298520;1;1;3.2
852a30322641dcdb065fba41d2c7f6539b81a2e0;5b83575d4442dfc047136219fe45ddaa6e979abc;92d6dd4d92d22538f554c5193e5bc3104b2c0991;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511299716;1;1;1.206
6672a288b53816470b26132062a633b3bcc7dcfe;2f9676cfa3ce0cf7f8f4859bd9d34dc62f0310d7;eeceee47621d4b1f4bbd1e6349b4d0d48276f074;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511301856;1;1;0.668
1457e84c35d34e660474ff4c9f6a80631399f695;2f9676cfa3ce0cf7f8f4859bd9d34dc62f0310d7;eeceee47621d4b1f4bbd1e6349b4d0d48276f074;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511302364;1;1;0.633
b289458c97ea3f32005ae7394f8ed362ab20be95;2f9676cfa3ce0cf7f8f4859bd9d34dc62f0310d7;eeceee47621d4b1f4bbd1e6349b4d0d48276f074;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511302436;1;1;0.693
c11bf6767a8c569e9fe1bf42045b79e6e973b8c2;b64d4539ecdc641ea366a1a9a343ff16c2739622;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303019;1;1;0.435
ab0d5487e879cf83079ddfc17c6c6c1303f7a170;6eff1d3eaf56927c0ab64e5e2bbd1ef01e42f05a;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303146;1;1;0.434
8cc27e6c407c968c871ce462e4718fab6ca6b1db;b64d4539ecdc641ea366a1a9a343ff16c2739622;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303283;1;1;0.448
abbd7905299b3a6ef24b8587b283b34a29abc706;6eff1d3eaf56927c0ab64e5e2bbd1ef01e42f05a;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303314;1;1;0.45
5559552706854560c6d8931ec3a2ff943a218b9b;6eff1d3eaf56927c0ab64e5e2bbd1ef01e42f05a;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303316;1;1;0.44
a2a4680052f5f1bd5d6cf61b70f3b005894b3220;b64d4539ecdc641ea366a1a9a343ff16c2739622;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303386;1;1;0.427
564dc9147d69d39bd22e97f01c8e2ea07dc36534;6eff1d3eaf56927c0ab64e5e2bbd1ef01e42f05a;80e0d74ae9eb0a4d63935821031304147868ce9f;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511303414;1;1;0.404
5ed4b87ac324cccc68f52d98c90ac6df12973ef3;d49046ced81904279e7c6e87aabd77fc216f1bf2;083d6b5ee970bb98ec58bc55703d5a7318f51bf8;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511304742;1;1;0.655
b5cd0d195fd17074daa85e3a32921f18d6425951;3106469c5a17e434ef8a2ce729060fea35718056;083d6b5ee970bb98ec58bc55703d5a7318f51bf8;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511304888;1;1;0.584
ca7f13d842badb861cdb79db80613e04920c6b5d;d49046ced81904279e7c6e87aabd77fc216f1bf2;083d6b5ee970bb98ec58bc55703d5a7318f51bf8;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511305083;1;1;0.573
b13e6b463b7a118fc3bd24afbcfd38a5a88924cd;3106469c5a17e434ef8a2ce729060fea35718056;083d6b5ee970bb98ec58bc55703d5a7318f51bf8;47b3c1c93a801968b1dc4822e1a96d25595d8ad5;default;1511305119;1;1;0.576
b788a5ca8e9e41adcc35dbf265f46036e8cc4eea;32d5d927b2ff979d37f0cf0bbf2583ca3ac24d42;fa73843143e94af23b826e0cad0644981b33e396;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511305846;1;1;1.153
fb0fb9188e52ebe7b39f3f704b58c91c1eb36a7a;32d5d927b2ff979d37f0cf0bbf2583ca3ac24d42;fa73843143e94af23b826e0cad0644981b33e396;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;1511306069;1;1;1.165
