submission_id;solution_id;group_id;tlgroup_id;exercise_id;runtime_id;worker_group_id;user_id;spawn_ts;end_ts;limits;cpu_time;correctness;compilation_ok;duration
0133b6f478fefa83ae70aed07226a7c50296662d;23724b40baa2b6702deee751287a55aea967c0fd;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506970674;1506970683;150;1;0;1;0.623
870ece700e9f33940da117238c8d4bcabb0642e0;23724b40baa2b6702deee751287a55aea967c0fd;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506971417;1506971432;150;1;0;1;0.623
488f57d40ac4073b03b6717e767fdb752877a152;23724b40baa2b6702deee751287a55aea967c0fd;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506978706;1506978748;150;1;0;1;0.612
5139813967c203b682d385c96ed8b8561c04a630;b86b00b61e298538bf9df660b7a6193b6b4dabe9;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506979474;1506979486;150;1;1;1;0.641
4e07b6947491117771c06ea18510de35039d95b4;b86b00b61e298538bf9df660b7a6193b6b4dabe9;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506982921;1506982933;150;1;1;1;0.726
fe2ee866e0a928b64e89333ba6c3f39e414cf845;1efafbf25f5ca81eb7fb2654ee3763f903adbe83;850be69ce0ba6da44ab8ce24a89ccc89625b7eae;a850a5f6e16f6e2e435a0555ae83cfcd63370f66;149feaba1e43363e92490fe56f35ee03ae37abce;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;long;fbbe93f0bb8dd5fc605f72b22063a4a2f3109918;1506982948;1506982982;150;1;1;1;0.721
9f06358772657484dbed56e73dcd1657d39e962c;069db0637d37e35457f3a7eab61ede526f8e2651;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507073765;1507073810;4;0;0.81818181818182;1;3.718
950f66c911bc5550d504a225b0d624048c982314;5903381a793b5c6132b3d6ef9a247dee874e68c2;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507073929;1507073981;4;0;0.81818181818182;1;3.766
651187eb5bfd2fb488d5f47c15770101c7e00589;0482be1cc07a5d5432ab7070ef2246197e42a3da;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bb3cd5e0ca53dc1b4071b12f4b0c3604b0884ffd;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507074105;1507074152;4;0;1;1;3.738
b1da2bf6a6f5150edb0477e31377c3c028eb4974;fc1199ffa629c64b5975c49f7de5558b9ec2f9c8;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;68f90ccb55798b1123a2af2ec75772134426687f;1507074809;1507074851;32;0;0;1;4.863
9366c779bae951c01b21b7e9e11f9e6931e2bfc7;5face80c7cbe3df949c89a1399b55d94b7f1471f;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507075176;1507075223;32;0;0.18181818181818;1;3.194
cb1674d35d673c4712c2a971ce965a790a18f582;74bd050c62ad95de612c0a6aed0bd78341692428;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507075554;1507075557;32;0;0;0;0.049
d4d1903cbfbecce840a1ef75ab1cd9e1843d42b7;bbf49118c0dd9057a70196f2af130e33b0951ce4;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;c77f6c24a836a2edabfddde87f3e5eff70d8419c;1507075652;1507075654;32;0;0;0;0.046
6ec8e0cdea2cbee13c6598426a60088fe3e6f4e3;b7078f944e0c3c8b63c7be489f25e2542e18a79e;afb1b259dfd7d0b7b36f97a55ba747f6a126858b;dcd4edce054ee50b20d0936e1cb0d407a429e92b;bc298e054dbf28eb2ebeeffe4228211735001882;56cd1e097ebf4135e3622b4b1b53b4f5442a51e8;default;55b81435a61a50e595a8855f48d6e26dcb74136a;1507076248;1507076298;32;0;1;1;3.248
